# 	 seed 1993
# 	 elapsed time 49.64469289779663
# 	 reward -853.0
# 	 discounted reward -253.0081722803146
,X_19,Y_19
0,0,0
1,0,1
2,0,0
3,0,1
4,0,0
5,0,1
6,1,1
7,0,1
8,0,0
9,0,1
10,1,1
11,0,1
12,0,0
13,0,1
14,1,1
15,0,1
16,1,1
17,0,1
18,0,0
19,0,1
20,1,1
21,0,1
22,1,1
23,0,1
24,0,2
25,0,1
26,0,0
27,0,1
28,1,1
29,0,1
30,0,0
31,0,1
32,0,0
33,0,1
34,1,1
35,0,1
36,0,0
37,0,1
38,0,0
39,0,1
40,0,0
41,0,1
42,0,2
43,0,1
44,0,0
45,0,1
46,1,1
47,0,1
48,1,1
49,0,1
50,1,1
51,0,1
52,1,1
53,0,1
54,1,1
55,0,1
56,0,0
57,0,1
58,0,0
59,0,1
60,0,0
