# 	 seed 1993
# 	 elapsed time 52.74373817443848
# 	 reward -643.0
# 	 discounted reward -269.5503455505465
,X_6,Y_6
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,1,6
8,0,6
9,0,5
10,1,5
11,1,4
12,1,3
13,0,3
14,0,4
15,1,4
16,1,5
17,0,5
18,0,6
19,0,5
20,0,6
21,0,5
22,0,6
23,0,5
24,0,4
25,0,5
26,0,4
27,0,5
28,1,5
29,1,4
30,1,5
31,1,6
32,1,5
33,0,5
34,0,4
35,1,4
36,0,4
37,0,5
38,1,5
39,0,5
40,0,4
41,0,5
42,1,5
43,0,5
44,0,4
45,0,5
46,0,4
47,0,5
48,0,6
49,1,6
50,1,5
51,2,5
52,2,6
53,1,6
54,0,6
55,0,5
56,0,4
57,1,4
58,0,4
59,1,4
60,1,5
