# 	 seed 1993
# 	 elapsed time 50.58282017707825
# 	 reward -617.0
# 	 discounted reward -221.4051166020083
,X_22,Y_22
0,0,0
1,0,1
2,0,0
3,0,1
4,1,1
5,0,1
6,1,1
7,0,1
8,1,1
9,0,1
10,0,0
11,0,1
12,1,1
13,0,1
14,0,0
15,0,1
16,0,0
17,0,1
18,0,0
19,0,1
20,0,0
21,0,1
22,0,0
23,0,1
24,0,0
25,0,1
26,1,1
27,0,1
28,0,2
29,0,3
30,0,4
31,0,5
32,0,6
33,1,6
34,1,5
35,0,5
36,0,6
37,0,7
38,1,7
39,1,6
40,1,5
41,1,6
42,1,7
43,2,7
44,2,6
45,2,7
46,2,6
47,2,7
48,2,6
49,2,7
50,2,6
51,2,7
52,2,6
53,2,7
54,2,6
55,2,5
56,2,6
57,1,6
58,2,6
59,2,7
60,2,6
