# 	 seed 1993
# 	 elapsed time 49.89847683906555
# 	 reward -668.0
# 	 discounted reward -213.08178242328458
,X_4,Y_4
0,0,0
1,0,1
2,0,0
3,0,1
4,0,0
5,0,1
6,1,1
7,0,1
8,0,2
9,0,3
10,0,2
11,0,1
12,0,0
13,0,1
14,0,0
15,0,1
16,0,0
17,0,1
18,0,0
19,0,1
20,0,0
21,0,1
22,1,1
23,0,1
24,0,0
25,0,1
26,1,1
27,0,1
28,0,0
29,0,1
30,0,0
31,0,1
32,0,0
33,0,1
34,1,1
35,0,1
36,0,0
37,0,1
38,0,0
39,0,1
40,1,1
41,0,1
42,0,2
43,0,3
44,0,2
45,0,1
46,1,1
47,0,1
48,1,1
49,0,1
50,0,0
51,0,1
52,0,0
53,0,1
54,1,1
55,0,1
56,1,1
57,0,1
58,1,1
59,0,1
60,0,2
