# 	 seed 1993
# 	 elapsed time 48.32061696052551
# 	 reward -634.0
# 	 discounted reward -210.03468846353496
,X_26,Y_26
0,0,0
1,0,1
2,1,1
3,1,0
4,1,1
5,1,0
6,0,0
7,0,1
8,0,0
9,0,1
10,1,1
11,0,1
12,1,1
13,0,1
14,1,1
15,1,0
16,1,1
17,0,1
18,1,1
19,2,1
20,2,2
21,2,1
22,2,0
23,1,0
24,1,1
25,1,0
26,1,1
27,0,1
28,0,2
29,0,3
30,1,3
31,0,3
32,1,3
33,2,3
34,2,4
35,2,3
36,2,2
37,2,3
38,2,2
39,1,2
40,2,2
41,2,3
42,2,2
43,2,3
44,2,2
45,2,3
46,1,3
47,0,3
48,1,3
49,2,3
50,2,2
51,2,3
52,2,4
53,2,3
54,2,2
55,2,3
56,2,2
57,2,3
58,2,2
59,2,3
60,2,2
