# 	 seed 1993
# 	 elapsed time 3.3098111152648926
# 	 reward -39.0
# 	 discounted reward -36.31916875161484
,X_6,Y_6
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,1,5
7,1,6
8,1,7
9,1,8
10,1,9
11,1,10
12,2,10
13,2,11
14,2,12
