# 	 seed 1993
# 	 elapsed time 100.28878426551819
# 	 reward -35.0
# 	 discounted reward -26.928192707832025
# 	 valid policy True
,X_26,Y_26
0,0,0
1,1,0
2,1,1
3,1,0
4,1,1
5,1,0
6,2,0
7,3,0
8,3,1
9,3,2
10,3,3
