# 	 seed 1993
# 	 elapsed time 1.2754099369049072
# 	 reward 2.0
# 	 discounted reward -0.09738706132812691
,X_5,Y_5
0,0,3
1,1,3
2,2,3
3,3,3
4,3,2
5,3,3
6,3,2
7,2,2
8,2,1
9,2,0
