,time,discounted_reward,reward,sat
0,58.03045201301575,-15.707224721141236,-30.0,False
1,124.41081690788269,-15.707224721141236,-30.0,False
2,195.06314206123352,-15.707224721141236,-30.0,False
3,263.0305001735687,-15.707224721141236,-30.0,False
4,374.320659160614,-15.707224721141236,-30.0,False
5,442.2186989784241,-45.22266382348499,-66.0,False
6,553.6885280609131,-21.992260385984988,-39.0,False
7,665.4670922756195,-17.740644590074325,-39.0,False
8,731.6658952236176,-15.707224721141236,-30.0,False
9,799.3916893005371,-27.66450507350647,-48.0,False
10,867.9000401496887,-15.707224721141236,-30.0,False
11,979.5979282855988,-15.707224721141236,-30.0,False
12,1049.5330250263214,-70.70030148495505,-129.0,False
13,1117.0187828540802,-15.707224721141236,-30.0,False
14,1183.1017320156097,-15.707224721141236,-30.0,False
15,1293.7866742610931,-15.707224721141236,-30.0,False
16,1362.2946240901947,-24.025680254918075,-48.0,False
17,1410.6146669387817,-34.69174135055964,-5.0,True
18,1468.065737247467,-65.395586236306,-93.0,False
19,1624.9368500709534,-15.707224721141236,-30.0,False
20,1738.8658909797668,-22.866490160931594,-48.0,False
21,1778.866091966629,-5.6084760140999705,44.0,True
22,1846.8682100772858,-24.257224721141238,-39.0,False
23,1913.1555519104004,-15.707224721141236,-30.0,False
24,1979.8539340496063,-15.707224721141236,-30.0,False
25,2092.9218220710754,-17.96032152882333,-39.0,False
26,2157.578663110733,-15.707224721141236,-30.0,False
27,2225.0753169059753,-15.707224721141236,-30.0,False
28,2336.6850039958954,-24.257224721141238,-39.0,False
29,2403.903375148773,-15.707224721141236,-30.0,False
30,2469.1193931102753,-15.707224721141236,-30.0,False
31,2582.408247947693,-15.707224721141236,-30.0,False
32,2650.018476963043,-19.876845792579015,-39.0,False
33,2719.827294111252,-25.25645936537813,-66.0,False
34,2810.658169031143,-15.24204220395951,31.0,True
35,2880.0136461257935,-24.034997325355985,-57.0,False
36,2945.554692029953,-15.707224721141236,-30.0,False
37,3012.372167110443,-15.707224721141236,-30.0,False
38,3081.4562690258026,-24.257224721141238,-39.0,False
39,3148.4375212192535,-21.37946940866272,-39.0,False
40,3238.161135196686,-26.50363097776711,15.0,True
41,3306.8213970661163,-19.993741397756416,-48.0,False
42,3372.4981219768524,-15.707224721141236,-30.0,False
43,3530.407704114914,-17.740644590074325,-39.0,False
44,3598.635443210602,-29.276533338348543,-57.0,False
45,3711.2798840999603,-15.707224721141236,-30.0,False
46,3776.9244270324707,-15.707224721141236,-30.0,False
47,3845.410122871399,-48.682923757250165,-93.0,False
48,3912.956528186798,-37.718184408641235,-57.0,False
49,3980.634877204895,-41.66164966051383,-93.0,False
50,4051.8568160533905,-25.199238001647444,-66.0,False
51,4154.268521308899,-19.392133938228717,18.0,True
52,4268.472233295441,-21.992260385984988,-39.0,False
53,4335.68865609169,-37.718184408641235,-57.0,False
54,4402.340672016144,-15.707224721141236,-30.0,False
55,4468.937695026398,-15.707224721141236,-30.0,False
56,4537.483054161072,-18.473436530666447,-39.0,False
57,4670.201331853867,-8.848385998087174,35.0,True
58,4782.710242033005,-15.707224721141236,-30.0,False
59,4850.799251079559,-15.707224721141236,-30.0,False
60,4918.662062168121,-15.707224721141236,-30.0,False
61,4985.465118169785,-19.47030773811383,-39.0,False
62,5054.621071100235,-20.826425551629377,-39.0,False
63,5122.772457122803,-15.707224721141236,-30.0,False
64,5188.94659614563,-27.790453989129375,-48.0,False
65,5304.3925931453705,-38.79815458244424,-66.0,False
66,5372.412402153015,-15.707224721141236,-30.0,False
67,5440.541798114777,-15.707224721141236,-30.0,False
68,5509.067497968674,-15.707224721141236,-30.0,False
69,5577.073181152344,-15.707224721141236,-30.0,False
70,5647.488809108734,-35.73931165819667,-75.0,False
71,5719.836503982544,-15.707224721141236,-30.0,False
72,5787.240190267563,-15.707224721141236,-30.0,False
73,5858.576857089996,-33.279853732745295,-84.0,False
74,5951.100743055344,-49.79195799339213,-12.0,True
75,6069.3634121418,-23.423599721141237,-39.0,False
76,6138.834971189499,-15.707224721141236,-30.0,False
77,6254.430868864059,-35.65713511909125,-93.0,False
78,6303.688760995865,-21.543989118311035,31.0,True
79,6372.572201251984,-15.707224721141236,-30.0,False
80,6411.223639965057,1.830043215415877,46.0,True
81,6525.806974887848,-15.707224721141236,-30.0,False
82,6644.700906991959,-27.396901332676123,-75.0,False
83,6713.152284145355,-47.060128158641234,-66.0,False
84,6782.987034082413,-18.20373087923774,-39.0,False
85,6852.036726951599,-15.707224721141236,-30.0,False
86,7011.672766923904,-24.630689523150913,-66.0,False
87,7080.091902256012,-15.707224721141236,-30.0,False
88,7150.301984071732,-24.257224721141238,-39.0,False
89,7183.9251890182495,1.0957689882118515,48.0,True
90,7289.968019247055,-61.00651142426623,-84.0,False
91,7358.022840976715,-15.707224721141236,-30.0,False
92,7427.012796163559,-19.47030773811383,-39.0,False
93,7498.634535074234,-45.53214449558433,-120.0,False
94,7566.413073062897,-31.97359972114124,-48.0,False
95,7668.147520065308,-22.67125315864124,-39.0,False
96,7723.092062950134,-52.815288424286635,-75.0,False
97,7780.777507066727,-70.65505739564354,-111.0,False
98,7839.164057016373,-15.707224721141236,-30.0,False
99,7899.3796463012695,-15.707224721141236,-30.0,False
