,time,discounted_reward,reward,sat
0,110.56856489181519,-35.644648870088844,-84.0,False
1,181.91773581504822,-15.707224721141236,-30.0,False
2,253.39687585830688,-41.749817326976746,-84.0,False
3,324.99826407432556,-90.86021290160897,-174.0,False
4,439.3200697898865,-15.707224721141236,-30.0,False
5,506.3896019458771,-38.93762815864124,-57.0,False
6,579.1162128448486,-99.46340857751883,-201.0,False
7,648.87260389328,-17.740644590074325,-39.0,False
8,717.5783798694611,-15.707224721141236,-30.0,False
9,786.4351480007172,-29.616125372582694,-57.0,False
10,852.8963778018951,-15.707224721141236,-30.0,False
11,962.173672914505,-49.27207608933604,-93.0,False
12,1033.6049568653107,-20.826425551629377,-39.0,False
13,1149.3882937431335,-24.257224721141238,-39.0,False
14,1256.3895568847656,-29.667792328732432,-66.0,False
15,1324.8469157218933,-21.37946940866272,-39.0,False
16,1394.4946639537811,-15.707224721141236,-30.0,False
17,1463.2815899848938,-27.601068827417492,-57.0,False
18,1529.5080199241638,-15.707224721141236,-30.0,False
19,1598.67347574234,-15.707224721141236,-30.0,False
20,1667.679961681366,-23.639928809551606,-48.0,False
21,1735.5042288303375,-15.707224721141236,-30.0,False
22,1804.5187587738037,-15.707224721141236,-30.0,False
23,1873.0682458877563,-15.707224721141236,-30.0,False
24,1939.6557240486145,-15.707224721141236,-30.0,False
25,2008.2911348342896,-102.62076959007437,-138.0,False
26,2123.459743976593,-23.423599721141237,-39.0,False
27,2191.0044407844543,-15.707224721141236,-30.0,False
28,2234.392760038376,-28.56521109499655,16.0,True
29,2301.6536786556244,-15.707224721141236,-30.0,False
30,2400.374572992325,-59.340892353467474,-24.0,True
31,2512.5157907009125,-32.43076181741437,-84.0,False
32,2580.374937772751,-15.707224721141236,-30.0,False
33,2648.681799888611,-19.47030773811383,-39.0,False
34,2720.6078288555145,-38.88815834622671,-84.0,False
35,2785.2222838401794,-35.34003701625391,-75.0,False
36,2852.25070476532,-15.707224721141236,-30.0,False
37,2922.4576439857483,-18.473436530666447,-39.0,False
38,3037.250946998596,-15.707224721141236,-30.0,False
39,3106.8062977790833,-15.707224721141236,-30.0,False
40,3142.3676810264587,-1.544991023698742,47.0,True
41,3211.443630695343,-96.48115860507906,-138.0,False
42,3280.3700108528137,-15.707224721141236,-30.0,False
43,3394.1081018447876,-18.473436530666447,-39.0,False
44,3462.5471539497375,-15.707224721141236,-30.0,False
45,3502.6688458919525,-15.600173945333438,27.0,True
46,3573.827938079834,-34.629498329552305,-93.0,False
47,3737.684711933136,-72.01843385651077,-129.0,False
48,3807.091378927231,-15.707224721141236,-30.0,False
49,3872.3179819583893,-43.775409959392505,-102.0,False
50,3943.807823896408,-138.9679979311738,-192.0,False
51,4015.114387989044,-26.290644590074326,-48.0,False
52,4066.396444797516,-32.98448992809566,12.0,True
53,4230.86661195755,-15.707224721141236,-30.0,False
54,4301.047818899155,-40.096099721141236,-57.0,False
55,4369.4626388549805,-61.573056506956775,-129.0,False
56,4486.998756885529,-15.707224721141236,-30.0,False
57,4545.153253793716,-51.62863224446809,-10.0,True
58,4614.2818608284,-15.707224721141236,-30.0,False
59,4684.12011384964,-15.707224721141236,-30.0,False
60,4756.036354064941,-19.993741397756416,-48.0,False
61,4825.026961803436,-21.37946940866272,-39.0,False
62,4893.905390739441,-15.707224721141236,-30.0,False
63,4962.595153808594,-15.707224721141236,-30.0,False
64,5030.823933839798,-15.707224721141236,-30.0,False
65,5168.356432914734,-36.280103013234395,5.0,True
66,5236.576407909393,-31.97359972114124,-48.0,False
67,5306.093465805054,-15.707224721141236,-30.0,False
68,5373.709317922592,-46.934963860347324,-93.0,False
69,5442.831632852554,-23.639928809551606,-48.0,False
70,5516.789511919022,-19.993741397756416,-48.0,False
71,5586.179280757904,-15.707224721141236,-30.0,False
72,5656.73114490509,-21.37946940866272,-39.0,False
73,5730.787947893143,-66.39475084251329,-147.0,False
74,5802.521373987198,-33.16287930114491,-57.0,False
75,5874.497840881348,-15.707224721141236,-30.0,False
76,5949.018237829208,-30.542260385984985,-48.0,False
77,6022.113691806793,-15.707224721141236,-30.0,False
78,6192.1300728321075,-25.73630779523427,-48.0,False
79,6263.263509988785,-15.707224721141236,-30.0,False
80,6334.004816770554,-15.707224721141236,-30.0,False
81,6391.343896865845,-48.17459909900439,-17.0,True
82,6556.104084968567,-22.67125315864124,-39.0,False
83,6626.8220846652985,-109.7572247211413,-129.0,False
84,6747.930511713028,-17.740644590074325,-39.0,False
85,6792.36638879776,-16.822819977027784,34.0,True
86,6855.547017812729,-53.21007768556126,-111.0,False
87,6924.571086883545,-24.257224721141238,-39.0,False
88,6973.594727754593,-31.096717617061223,5.0,True
89,7029.594048023224,-33.260245654923196,1.0,True
90,7100.06796169281,-15.707224721141236,-30.0,False
91,7169.882042884827,-24.257224721141238,-39.0,False
92,7242.1773319244385,-15.707224721141236,-30.0,False
93,7312.307661056519,-15.707224721141236,-30.0,False
94,7383.880473852158,-15.707224721141236,-30.0,False
95,7454.311312913895,-100.86153753364128,-138.0,False
96,7523.587997913361,-17.740644590074325,-39.0,False
97,7585.780673980713,-19.876845792579015,-39.0,False
98,7650.055411815643,-20.826425551629377,-39.0,False
99,7711.422222852707,-39.25208636141912,-129.0,False
