# 	 seed 1993
# 	 elapsed time 2.2727370262145996
# 	 reward -31.0
# 	 discounted reward -28.506003124999992
,X_1,Y_1
0,0,0
1,1,0
2,2,0
3,3,0
4,3,1
5,3,2
6,3,3
