# 	 seed 1993
# 	 elapsed time 0.9415600299835205
# 	 reward -6.0
# 	 discounted reward -7.5998811171875005
# 	 valid policy True
,X_23,Y_23
0,0,0
1,1,0
2,2,0
3,1,0
4,1,1
5,2,1
6,2,2
7,2,3
8,3,3
