,reward,time,sat
0,-120.0,162.62089800834656,False
1,-39.0,336.15788292884827,False
2,-30.0,509.57014203071594,False
3,-39.0,682.9825839996338,False
4,-30.0,855.8388929367065,False
5,-30.0,1029.8591129779816,False
6,-30.0,1202.3015539646149,False
7,-30.0,1376.4839451313019,False
8,-30.0,1551.0416858196259,False
9,-39.0,1726.0482001304626,False
10,-30.0,1901.5990209579468,False
11,-30.0,2081.5012052059174,False
12,-30.0,2269.3928530216217,False
13,-30.0,2449.6852707862854,False
14,-78.0,2588.892928123474,True
15,-30.0,168.49932098388672,False
16,-39.0,483.79603695869446,False
17,-39.0,656.2018468379974,False
18,-30.0,829.4085011482239,False
19,-75.0,1001.0304839611053,False
20,-30.0,1174.83807015419,False
21,-48.0,1491.0216448307037,False
22,-30.0,1663.2975928783417,False
23,-48.0,1836.2430140972137,False
24,-30.0,2009.136386871338,False
25,-63.0,2114.786153078079,True
26,-48.0,169.2399492263794,False
27,-30.0,340.97621417045593,False
28,-30.0,656.8113400936127,False
29,-30.0,968.9249341487885,False
30,-129.0,1143.8081500530243,False
31,-56.0,1260.327465057373,True
32,-48.0,168.37245798110962,False
33,-30.0,341.48698592185974,False
34,-66.0,515.5374660491943,False
35,-138.0,828.3963241577148,False
36,-102.0,1001.1153562068939,False
37,-30.0,1173.1973941326141,False
38,-30.0,1344.2395372390747,False
39,-39.0,1661.4154300689697,False
40,-30.0,1831.454610824585,False
41,-84.0,1997.2578611373901,False
42,-51.0,2134.155449151993,True
43,-30.0,453.63913893699646,False
44,-39.0,624.3006317615509,False
45,-39.0,795.6302108764648,False
46,-39.0,968.4654190540314,False
47,-30.0,1140.6889379024506,False
48,-174.0,1314.9525320529938,False
49,-75.0,1489.156497001648,False
50,-30.0,1662.7792830467224,False
51,-84.0,1834.9698150157928,False
52,-111.0,2008.2289209365845,False
53,-30.0,2177.8709938526154,False
54,-57.0,2350.0957429409027,False
55,-93.0,2663.969349861145,False
56,-39.0,2981.476581811905,False
57,-30.0,3155.2352209091187,False
58,-82.0,3314.5744409561157,True
59,-84.0,310.22032284736633,False
60,-39.0,481.93768978118896,False
61,-48.0,654.60529088974,False
62,-39.0,826.2909030914307,False
63,-30.0,997.3194937705994,False
64,-30.0,1312.66983294487,False
65,-39.0,1630.809779882431,False
66,-30.0,1803.176237821579,False
67,-30.0,1975.1471297740936,False
68,-39.0,2293.877571105957,False
69,-30.0,2606.544154882431,False
70,-66.0,2780.755786895752,False
71,-30.0,2951.8539509773254,False
72,-57.0,3125.9424257278442,False
73,-43.0,3221.2801520824432,True
74,-39.0,165.9171597957611,False
75,-30.0,481.97784185409546,False
76,-30.0,652.0834317207336,False
77,-47.0,768.5057098865509,True
78,-66.0,312.4491398334503,False
79,-39.0,483.6418797969818,False
80,-30.0,655.6868469715118,False
81,-48.0,828.1802408695221,False
82,-30.0,999.7140138149261,False
83,-91.0,1160.4165618419647,True
84,-39.0,306.6542880535126,False
85,-57.0,481.40790915489197,False
86,-39.0,798.4056329727173,False
87,-84.0,1115.9825670719147,False
88,-30.0,1287.605341911316,False
89,-57.0,1460.1227509975433,False
90,-30.0,1632.6259310245514,False
91,-30.0,1805.8494322299957,False
92,-48.0,2120.215656042099,False
93,-39.0,2293.839588165283,False
94,-30.0,2466.026394844055,False
95,-39.0,2637.5018610954285,False
96,-30.0,2953.317113161087,False
97,-30.0,3125.1776490211487,False
98,-120.0,3437.6374559402466,False
99,-138.0,3756.340012073517,False
