,reward,time,sat
0,-39.0,20.971724033355713,False
1,-39.0,47.160815954208374,False
2,-30.0,72.76259684562683,False
3,-39.0,100.14217185974121,False
4,-39.0,127.5896589756012,False
5,-48.0,153.67348289489746,False
6,-39.0,181.5901918411255,False
7,-39.0,208.18278789520264,False
8,-30.0,234.6542820930481,False
9,-30.0,259.32153391838074,False
10,-63.0,275.1321017742157,True
11,-75.0,25.717156887054443,False
12,-39.0,52.871227979660034,False
13,-66.0,79.25446105003357,False
14,-30.0,104.65740013122559,False
15,-48.0,145.1927330493927,False
16,-39.0,172.29029607772827,False
17,-30.0,197.2275049686432,False
18,-30.0,224.790785074234,False
19,-39.0,249.5099048614502,False
20,-57.0,276.37713408470154,False
21,-30.0,302.4214768409729,False
22,-48.0,329.3906970024109,False
23,-48.0,359.8530230522156,False
24,-30.0,390.58799386024475,False
25,-48.0,422.7996060848236,False
26,-30.0,448.46965408325195,False
27,-30.0,475.3575949668884,False
28,-30.0,504.87585496902466,False
29,-30.0,535.4708778858185,False
30,-30.0,560.4409742355347,False
31,-66.0,590.5557582378387,False
32,-57.0,616.0417611598969,False
33,-72.0,631.8418519496918,True
34,-30.0,20.175623893737793,False
35,-39.0,45.61074376106262,False
36,-66.0,71.3801281452179,False
37,-30.0,104.24603295326233,False
38,-30.0,130.27378582954407,False
39,-48.0,157.2152440547943,False
40,-75.0,183.93444681167603,False
41,-30.0,210.45702409744263,False
42,-30.0,243.0967891216278,False
43,-84.0,272.99628591537476,False
44,-75.0,312.6354629993439,False
45,-48.0,340.01242303848267,False
46,-48.0,375.1136808395386,False
47,-30.0,401.34096002578735,False
48,-30.0,435.53719902038574,False
49,-30.0,462.2203679084778,False
50,-30.0,489.0766270160675,False
51,-84.0,516.5476288795471,False
52,-30.0,544.5811100006104,False
53,-48.0,573.0892648696899,False
54,-66.0,601.4060399532318,False
55,-39.0,631.509271144867,False
56,-39.0,660.0705828666687,False
57,-30.0,688.0476319789886,False
58,-57.0,715.9414539337158,False
59,-93.0,743.1481590270996,False
60,-30.0,781.3528819084167,False
61,-93.0,804.2313270568848,False
62,-102.0,831.6737589836121,False
63,-30.0,860.3956530094147,False
64,-57.0,888.6448068618774,False
65,-30.0,916.1443378925323,False
66,-111.0,943.4234030246735,False
67,-30.0,969.4395139217377,False
68,-138.0,997.7285420894623,False
69,-30.0,1024.4983661174774,False
70,-48.0,1053.9113328456879,False
71,-66.0,1084.0684170722961,False
72,-48.0,1112.2752289772034,False
73,-30.0,1140.5857088565826,False
74,-63.0,1165.5478007793427,True
75,-30.0,27.696805238723755,False
76,-39.0,60.442195892333984,False
77,-75.0,95.7014970779419,False
78,-30.0,129.1526551246643,False
79,-39.0,155.37315702438354,False
80,-84.0,190.18303513526917,False
81,-48.0,217.55831813812256,False
82,-39.0,243.962749004364,False
83,-120.0,276.0603063106537,False
84,-48.0,306.47475504875183,False
85,-30.0,332.86675095558167,False
86,-66.0,358.61531710624695,False
87,-48.0,385.84159684181213,False
88,-48.0,411.212975025177,False
89,-30.0,436.94733214378357,False
90,-30.0,462.550350189209,False
91,-68.0,475.9161660671234,True
92,-147.0,22.308048009872437,False
93,-66.0,47.300602197647095,False
94,-39.0,82.17613697052002,False
95,-66.0,113.28941202163696,False
96,-30.0,138.76501202583313,False
97,-48.0,170.94312405586243,False
98,-49.0,180.0554530620575,True
99,-57.0,20.773508071899414,False
100,-84.0,47.75988292694092,False
101,-75.0,72.30605411529541,False
102,-147.0,99.31825399398804,False
103,-39.0,126.28214907646179,False
104,-39.0,153.34947299957275,False
105,-30.0,178.32227516174316,False
106,-30.0,204.42342400550842,False
107,-30.0,230.20485615730286,False
108,-30.0,255.14698386192322,False
109,-39.0,281.96514105796814,False
110,-66.0,322.1158871650696,False
111,-39.0,351.80464792251587,False
112,-156.0,385.80296897888184,False
113,-30.0,414.0354781150818,False
114,-30.0,440.50625109672546,False
115,-30.0,467.19791889190674,False
116,-57.0,480.16348218917847,True
117,-66.0,27.372915029525757,False
118,-39.0,56.21452283859253,False
119,-30.0,82.81704902648926,False
120,-30.0,111.08741307258606,False
121,-30.0,137.7852280139923,False
122,-75.0,166.3959720134735,False
