,reward,time,sat
0,-39.0,20.598888397216797,False
1,-39.0,45.54436922073364,False
2,-30.0,69.8143470287323,False
3,-39.0,95.69209718704224,False
4,-39.0,121.7937421798706,False
5,-48.0,146.3337242603302,False
6,-39.0,172.68568015098572,False
7,-39.0,197.31070733070374,False
8,-30.0,222.19845509529114,False
9,-30.0,245.67576432228088,False
10,-63.0,260.8044590950012,True
11,-75.0,24.666702032089233,False
12,-39.0,50.62980389595032,False
13,-66.0,75.8563027381897,False
14,-30.0,100.04872393608093,False
15,-48.0,138.8254678249359,False
16,-39.0,164.76109886169434,False
17,-30.0,188.52826166152954,False
18,-30.0,214.86475801467896,False
19,-39.0,238.5362479686737,False
20,-57.0,264.1828079223633,False
21,-30.0,288.92637276649475,False
22,-48.0,314.7044699192047,False
23,-48.0,343.64337682724,False
24,-30.0,373.05388283729553,False
25,-48.0,403.8837637901306,False
26,-30.0,428.37751603126526,False
27,-30.0,453.98464584350586,False
28,-30.0,482.15625286102295,False
29,-30.0,511.3990960121155,False
30,-30.0,535.1525647640228,False
31,-66.0,563.8313148021698,False
32,-57.0,588.0386118888855,False
33,-72.0,603.0542318820953,True
34,-30.0,19.402984857559204,False
35,-39.0,43.69891571998596,False
36,-66.0,68.19446086883545,False
37,-30.0,99.76367163658142,False
38,-30.0,124.54009675979614,False
39,-48.0,149.71335673332214,False
40,-75.0,173.8440866470337,False
41,-30.0,197.6965687274933,False
42,-30.0,226.91822266578674,False
43,-84.0,253.93788075447083,False
44,-75.0,289.5568656921387,False
45,-48.0,314.2167549133301,False
46,-48.0,345.9201898574829,False
47,-30.0,369.5488078594208,False
48,-30.0,400.05688667297363,False
49,-30.0,423.92785573005676,False
