# 	 seed 1993
# 	 elapsed time 0.7689118385314941
# 	 reward -13.0
# 	 discounted reward -11.833503125
,X_7,Y_7
0,0,0
1,1,0
2,1,1
3,2,1
4,3,1
5,3,2
6,3,3
