,time,discounted_reward,reward,sat
0,58.2385458946228,-15.707224721141236,-30.0,False
1,130.937979221344,-20.327303470656783,-39.0,False
2,218.9713499546051,-20.327303470656783,-39.0,False
3,297.0071291923523,-47.060128158641234,-66.0,False
4,409.52864694595337,-22.67125315864124,-39.0,False
5,444.51122784614563,-43.35702454561644,-53.0,True
6,560.1639459133148,-17.740644590074325,-39.0,False
7,628.0984649658203,-38.93762815864124,-57.0,False
8,694.6221129894257,-15.707224721141236,-30.0,False
9,733.3765320777893,-55.60049853402041,-73.0,True
10,799.3228180408478,-21.992260385984988,-39.0,False
11,866.8437910079956,-18.77227935773427,-39.0,False
12,978.0340111255646,-15.707224721141236,-30.0,False
13,1135.5608010292053,-15.707224721141236,-30.0,False
14,1204.9718220233917,-24.450293072022863,-57.0,False
15,1273.9899590015411,-18.77227935773427,-39.0,False
16,1339.9778060913086,-40.096099721141236,-57.0,False
17,1407.756714105606,-23.423599721141237,-39.0,False
18,1473.22127699852,-15.707224721141236,-30.0,False
19,1538.94948720932,-38.07484327940522,-129.0,False
20,1607.4571030139923,-15.707224721141236,-30.0,False
21,1676.962856054306,-101.71725504074462,-156.0,False
22,1787.8887622356415,-31.887302692296263,-57.0,False
23,1826.8990490436554,-55.60049853402041,-73.0,True
24,1895.4895930290222,-40.57134943750172,-138.0,False
25,1961.6709308624268,-24.257224721141238,-39.0,False
26,2074.6257491111755,-15.707224721141236,-30.0,False
27,2143.020814180374,-17.740644590074325,-39.0,False
28,2208.96719789505,-38.07484327940522,-129.0,False
29,2275.862599849701,-21.992260385984988,-39.0,False
30,2343.0005810260773,-15.707224721141236,-30.0,False
31,2414.073653936386,-107.37037255585297,-156.0,False
32,2528.116040945053,-38.811908852606884,-93.0,False
33,2594.8108229637146,-15.707224721141236,-30.0,False
34,2661.2136509418488,-15.707224721141236,-30.0,False
35,2755.587625026703,-85.7200772972524,-124.0,True
36,2816.443481206894,-72.20033565333371,-138.0,False
37,2931.2782621383667,-47.574442473808,-66.0,True
38,2992.98885512352,-61.57777041911367,-93.0,False
39,3054.7709469795227,-64.4427606258181,-129.0,False
40,3194.385267019272,-43.02936616154642,-75.0,False
41,3253.419657945633,-30.38762815864124,-48.0,False
42,3312.6885330677032,-15.707224721141236,-30.0,False
43,3411.6229569911957,-22.12994260026111,-48.0,False
44,3471.7420411109924,-15.707224721141236,-30.0,False
45,3530.623471021652,-19.47030773811383,-39.0,False
46,3591.4114139080048,-23.639928809551606,-48.0,False
47,3728.23034119606,-38.57480255172507,-93.0,False
48,3784.660555124283,-15.707224721141236,-30.0,False
49,3842.731738090515,-15.707224721141236,-30.0,False
50,3901.0613219738007,-15.707224721141236,-30.0,False
51,3940.497687101364,-34.89618140561826,-59.0,True
52,3999.3430709838867,-17.96032152882333,-39.0,False
53,4058.6381330490112,-66.5500537906974,-156.0,False
54,4115.894114971161,-15.707224721141236,-30.0,False
55,4212.3665771484375,-30.38762815864124,-48.0,False
56,4270.717740058899,-23.423599721141237,-39.0,False
57,4329.869925022125,-100.58734972114128,-129.0,False
58,4389.695171117783,-86.8760369033556,-138.0,False
59,4447.4566378593445,-19.47030773811383,-39.0,False
60,4497.163326025009,-46.43016471352107,-83.0,True
61,4554.29737496376,-15.707224721141236,-30.0,False
62,4651.145198106766,-20.327303470656783,-39.0,False
63,4709.132853984833,-15.707224721141236,-30.0,False
64,4767.041942119598,-15.707224721141236,-30.0,False
65,4796.960725069046,-43.35702454561644,-53.0,True
66,4853.646502256393,-19.47030773811383,-39.0,False
67,4912.029286146164,-38.07484327940522,-129.0,False
68,4973.116940975189,-38.93881270270808,-93.0,False
69,5033.717403173447,-18.20373087923774,-39.0,False
70,5087.380880832672,-32.750438978593294,-75.0,False
71,5146.166188955307,-70.78571391094071,-129.0,False
72,5203.479181051254,-15.707224721141236,-30.0,False
73,5300.5327360630035,-15.707224721141236,-30.0,False
74,5332.133589982986,-43.35702454561644,-53.0,True
75,5431.936333179474,-85.26118172366793,-147.0,False
76,5491.113301992416,-15.707224721141236,-30.0,False
77,5556.915971040726,-31.97359972114124,-48.0,False
78,5621.307109117508,-15.707224721141236,-30.0,False
79,5680.465639829636,-15.707224721141236,-30.0,False
80,5740.609236955643,-54.92236372886397,-120.0,False
81,5844.099014997482,-17.96032152882333,-39.0,False
82,5893.912051916122,-32.133032856009855,-63.0,True
83,5956.853248119354,-21.992260385984988,-39.0,False
84,6022.817780017853,-17.740644590074325,-39.0,False
85,6127.50074505806,-24.257224721141238,-39.0,False
86,6187.775281190872,-24.257224721141238,-39.0,False
87,6281.363803863525,-17.740644590074325,-39.0,False
88,6342.53004693985,-15.707224721141236,-30.0,False
89,6427.509509086609,-15.707224721141236,-30.0,False
90,6494.198015928268,-15.707224721141236,-30.0,False
91,6569.60164809227,-25.825007843874666,-66.0,False
92,6645.796696186066,-29.289745596522305,-75.0,False
93,6715.154214143753,-15.707224721141236,-30.0,False
94,6784.2532370090485,-18.20373087923774,-39.0,False
95,6853.33394408226,-17.740644590074325,-39.0,False
96,6921.575888156891,-15.707224721141236,-30.0,False
97,6988.8220200538635,-15.707224721141236,-30.0,False
98,7057.226697921753,-41.61144602185034,-111.0,False
99,7125.574012994766,-15.707224721141236,-30.0,False
